marz_en,marz_iso,marz_hy,my_step,prosperous_armenia,bright_armenia,republican,arf,we_alliance,sasna_tsrer,orinats_yerkir,citizens_decision,christian_democratic_rebirth,national_progress,registered,ballots_cast,invalid,valid,stations,turnout_pct
Aragatsotn,AM-AG,Արագածոտն,42083,6222,4085,1278,3855,708,883,1108,501,154,143,117686,61311,279,61020,142,52.1
Ararat,AM-AR,Արարատ,81103,9108,4368,7148,2737,2763,1882,1586,396,367,261,221539,112085,352,111719,154,50.59
Armavir,AM-AV,Արմավիր,69508,11963,8750,2655,4046,3370,1746,497,384,401,250,234353,103909,319,103570,168,44.34
Gegharkunik,AM-GR,Գեղարքունիք,68021,8277,4556,2655,6779,2062,1534,1408,256,253,346,191161,96427,297,96147,155,50.44
Kotayk,AM-KT,Կոտայք,79254,19275,4158,4144,4864,1397,1438,563,501,777,679,240126,117462,404,117050,169,48.92
Lori,AM-LO,Լոռի,78024,9260,9156,7960,2846,938,2010,1415,330,371,225,237467,112922,370,112535,221,47.55
Shirak,AM-SH,Շիրակ,68056,11141,8406,3029,6683,1852,2157,921,313,659,122,229799,103697,330,103339,220,45.13
Syunik,AM-SU,Սյունիք,49385,4665,2824,2126,3208,1409,804,337,450,427,186,115127,66028,187,65821,153,57.35
Tavush,AM-TV,Տավուշ,42519,2691,2011,1368,4184,1738,820,612,1117,177,283,108773,57697,149,57520,96,53.04
Vayots Dzor,AM-VD,Վայոց ձոր,16079,2436,1361,780,1032,1867,247,130,182,72,161,46640,24385,32,24347,53,52.28
Yerevan,AM-ER,Երևան,290439,18750,30347,25931,8571,7072,9341,3815,4081,2796,1465,849965,404678,1948,402608,479,47.61
